id,quantity,start_date,end_date,camp,camp_lat,camp_lng
1,1,11/13/1943,5/11/1944,Ascoli Piceno,42.84191317,13.64473125
2,3,11/15/1943,5/13/1944,Baveno,45.92394444,8.549839909
3,1,11/14/1943,7/10/1944,Campo di Bolzano,46.48647835,11.31793055
4,2,7/11/1944,9/4/1944,Campo di Bolzano,46.48647835,11.31793055
5,1,9/5/1944,10/4/1944,Campo di Bolzano,46.48647835,11.31793055
6,5,10/5/1944,12/11/1944,Campo di Bolzano,46.48647835,11.31793055
7,2,12/12/1944,1/1/1945,Campo di Bolzano,46.48647835,11.31793055
8,3,1/2/1945,5/3/1945,Campo di Bolzano,46.48647835,11.31793055
9,1,3/1/1943,12/4/1943,Campo di Fossoli,44.82881388,10.90204478
10,2,12/5/1943,12/31/1943,Campo di Fossoli,44.82881388,10.90204478
11,7,1/1/1944,2/1/1944,Campo di Fossoli,44.82881388,10.90204478
12,11,2/2/1944,3/2/1944,Campo di Fossoli,44.82881388,10.90204478
13,5,3/3/1944,3/31/1944,Campo di Fossoli,44.82881388,10.90204478
14,16,4/1/1944,4/30/1944,Campo di Fossoli,44.82881388,10.90204478
15,5,5/1/1944,5/31/1944,Campo di Fossoli,44.82881388,10.90204478
16,8,6/1/1944,6/30/1944,Campo di Fossoli,44.82881388,10.90204478
17,7,7/1/1944,8/7/1944,Campo di Fossoli,44.82881388,10.90204478
18,6,8/8/1944,9/10/1944,Campo di Fossoli,44.82881388,10.90204478
19,1,9/11/1944,10/3/1944,Campo di Fossoli,44.82881388,10.90204478
20,1,10/4/1944,4/2/1945,Campo di Fossoli,44.82881388,10.90204478
21,1,3/20/1944,6/30/1944,Campo di Risiera San Sabba,45.62099312,13.78923921
22,1,7/1/1944,12/29/1944,Campo di Risiera San Sabba,45.62099312,13.78923921
23,1,12/30/1944,4/25/1945,Campo di Risiera San Sabba,45.62099312,13.78923921
24,1,4/3/1945,4/25/1945,Carcere di Cannobbio (Milano),45.46151478,9.191036361
25,3,3/1/1943,11/29/1943,Carcere di Milano,45.461689,9.164874688
26,1,11/30/1943,12/4/1943,Carcere di Milano,45.461689,9.164874688
27,8,12/5/1943,12/31/1943,Carcere di Milano,45.461689,9.164874688
28,18,1/1/1944,2/1/1944,Carcere di Milano,45.461689,9.164874688
29,16,2/2/1944,3/9/1944,Carcere di Milano,45.461689,9.164874688
30,3,3/10/1944,7/6/1944,Carcere di Milano,45.461689,9.164874688
31,9,7/7/1944,8/7/1944,Carcere di Milano,45.461689,9.164874688
32,3,8/8/1944,9/10/1944,Carcere di Milano,45.461689,9.164874688
33,1,9/11/1944,10/4/1944,Carcere di Milano,45.461689,9.164874688
34,1,10/5/1944,4/1/1945,Carcere di Milano,45.461689,9.164874688
35,2,4/2/1945,4/25/1945,Carcere di Milano,45.461689,9.164874688
36,3,11/15/1943,5/13/1944,Carcere di Novara,45.43519701,8.636373969
37,3,12/16/1943,4/25/1945,Collegio militare di Roma,41.92258835,12.46898653
38,1,11/15/1943,5/13/1944,Meina,45.79267109,8.539625855
39,1,1/24/1944,7/22/1944,Verona,45.44343262,11.04590083
