id,quantity,time,nazi_camp,nazi_camp_lat,nazi_camp_lng
1,4,1/4/1943,Auschwitz,50.02651861,19.20316937
2,5,30/12/1943,Auschwitz,50.02651861,19.20316937
3,17,5/1/1944,Auschwitz,50.02651861,19.20316937
4,43,2/2/1944,Auschwitz,50.02651861,19.20316937
5,68,3/3/1944,Auschwitz,50.02651861,19.20316937
6,76,4/4/1944,Auschwitz,50.02651861,19.20316937
7,90,1/5/1944,Auschwitz,50.02651861,19.20316937
8,96,1/6/1944,Auschwitz,50.02651861,19.20316937
9,103,1/7/1944,Auschwitz,50.02651861,19.20316937
10,113,1/8/1944,Auschwitz,50.02651861,19.20316937
11,117,9/9/1944,Auschwitz,50.02651861,19.20316937
12,119,5/10/1944,Auschwitz,50.02651861,19.20316937
13,125,5/11/1944,Auschwitz,50.02651861,19.20316937
14,127,12/1/1945,Auschwitz,50.02651861,19.20316937
15,7,27/01/1945,Sopravvissuti ad Auschwitz,50.02995198,19.20960306
16,120,27/01/1945,Deceduti ad Auschwitz,50.0279797,19.21503071
17,13,8/8/1944,Bergen Belsen,52.76062295,9.908247576
18,13,15/04/1945,Sopravvissuti ad Bergen Belsen,52.76025779,9.910512353
19,1,11/10/1944,Buchenwald,51.02152786,11.24924952
20,1,13/01/1945,Sopravvissuti a Buchenwald,51.02158866,11.25127728
21,1,8/3/1944,Ravensbrueck,53.19131928,13.16380513
22,2,11/4/1944,Ravensbrueck,53.19131928,13.16380513
23,3,15/05/1944,Ravensbrueck,53.19131928,13.16380513
24,4,22/07/1944,Ravensbrueck,53.19131928,13.16380513
25,5,11/8/1944,Ravensbrueck,53.19131928,13.16380513
26,6,4/11/1944,Ravensbrueck,53.19131928,13.16380513
27,7,30/01/1945,Ravensbrueck,53.19131928,13.16380513
28,10,2/2/1945,Ravensbrueck,53.19131928,13.16380513
29,7,30/04/1945,Sopravvissuti a Ravensbrueck,53.19187377,13.16614873
30,3,30/04/1945,Deceduti a Ravensbrueck,53.19075528,13.16688902
